"filename", "language", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "JSON", "YAML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\dashboard.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\delivery\add_delivery.blade.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\edit_brand_product.blade.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\edit_category_product.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\edit_product.blade.php", "PHP", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 4, 96
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\gallery\add_gallery.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 21, 1, 44
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\manage_order.blade.php", "PHP", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\post\add_post.blade.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 4, 73
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\post\edit_post.blade.php", "PHP", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\post\list_post.blade.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\slider\add_slider.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\slider\list_slider.blade.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\users\add_users.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\users\all_users.blade.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 11, 102
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin\view_order.blade.php", "PHP", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 10, 213
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin_layout.blade.php", "PHP", 0, 617, 0, 0, 0, 0, 0, 0, 0, 17, 71, 705
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\admin_login.blade.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\index.blade.php", "PHP", 0, 752, 0, 0, 0, 0, 0, 0, 0, 9, 69, 830
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\brand\show_brand.blade.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\cart\cart_ajax.blade.php", "PHP", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 12, 175
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\cart\show_cart.blade.php", "PHP", 0, 96, 0, 0, 0, 0, 0, 0, 0, 3, 4, 103
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\category\show_category.blade.php", "PHP", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\forgot_password.blade.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\handcash.blade.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\login_checkout.blade.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\payment.blade.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 3, 2, 91
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\checkout\show_checkout.blade.php", "PHP", 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 21, 268
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\contact\contact.blade.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\home.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"c:\xampp\htdocs\shopbanhanglaravel\resources\views\pages\post\category_post.blade.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
